timestamp	memory_relevance_score	avg_relevance	avg_freshness	avg_noise	queries_completed	eval_seconds	description
2026-03-25T11:33:26.381Z	0.489787	0.718088	0.709522	0.202032	22	135.9	baseline
2026-03-25T12:13:05.289Z	0.502684	0.718601	0.722552	0.187797	25	95.0	baseline
2026-03-25T12:15:33.268Z	0.480060	0.722596	0.691200	0.214340	23	121.6	baseline
2026-03-25T12:18:06.535Z	0.495709	0.720076	0.723650	0.201217	23	122.1	baseline
2026-03-25T12:20:39.275Z	0.505481	0.737143	0.692956	0.189901	18	122.5	baseline
2026-03-25T12:22:58.760Z	0.487919	0.723077	0.697028	0.204749	25	104.8	baseline
2026-03-25T12:25:15.144Z	0.508807	0.748636	0.690909	0.196119	25	105.0	baseline
2026-03-25T12:27:51.666Z	0.522097	0.739751	0.671743	0.155643	20	121.1	baseline
2026-03-25T12:30:23.435Z	0.493106	0.730036	0.704384	0.207391	24	127.4	baseline
2026-03-25T12:33:04.404Z	0.506433	0.746385	0.690923	0.197462	11	127.0	baseline
2026-03-25T12:35:36.822Z	0.529581	0.759394	0.692511	0.175931	20	126.3	baseline
2026-03-25T23:35:09.409Z	0.523833	0.750099	0.675517	0.166404	18	130.4	baseline
2026-03-25T23:37:45.410Z	0.498871	0.747044	0.665764	0.198214	18	125.4	baseline
2026-03-25T23:40:13.969Z	0.509637	0.740764	0.692529	0.187028	18	122.0	baseline
2026-03-25T23:42:19.604Z	0.471349	0.714441	0.696294	0.222133	25	97.6	baseline
2026-03-25T23:45:04.529Z	0.481011	0.729891	0.673080	0.212210	24	123.3	baseline
2026-03-25T23:47:58.222Z	0.471099	0.717567	0.669316	0.213422	23	121.3	baseline
2026-03-25T23:51:33.988Z	0.525433	0.753154	0.686888	0.172863	21	120.8	baseline
2026-03-25T23:54:27.098Z	0.478307	0.725324	0.684769	0.217176	19	147.1	baseline
2026-03-25T23:56:57.047Z	0.497863	0.739580	0.690385	0.203531	25	105.4	baseline
2026-03-26T00:00:12.867Z	0.518913	0.755179	0.673426	0.178765	22	120.4	baseline
2026-03-26T00:02:44.959Z	0.521381	0.761197	0.690342	0.189573	10	125.9	baseline
2026-03-26T00:06:13.034Z	0.523589	0.754187	0.692463	0.179606	18	122.1	baseline
